fid,extensao,consorcio,descricao_desvio,tipo_rota,shape_id,direcao,destino,servico,SHAPE__Length,tipo_dia
149,19540,MOBI-Rio,,brt,6a84,0,Terminal Alvorada,35,19540.7137407003,U
150,22085,Santa Cruz,,regular,6a8e,1,São Fernando,840,22085.7413009542,U
151,36520,Internorte,,regular,6dma,1,Marechal Hermes,378,36520.1015309587,U
152,8601,Intersul,,regular,6dqy,0,Central do Brasil,007,8601.26791396512,U
153,24995,Internorte,,frescao,6dzv,1,Bancários,2344,24995.5087620726,U
154,27093,Transcarioca,,regular,6jfq,1,Rio das Pedras,557,27093.6058739655,U
155,22606,MOBI-Rio,,brt,6mtl,1,Terminal Deodoro,51,22606.7817301431,U
156,17467,Internorte,,regular,6n94,1,Pavuna,SP795,17467.1273386603,U
157,22313,Internorte,,regular,6ntj,0,Castelo,SN238,22313.3235337808,U
158,19619,MOBI-Rio,,brt,6otz,0,Terminal Alvorada,40,19619.8561111488,U
159,29012,Internorte,,regular,6pdj,0,Castelo,SN265,29012.9921187545,U
160,39346,Santa Cruz,,regular,6ph8,0,Candelária,300,39346.4327405389,U
161,38660,Internorte,,regular,6rzc,0,Saens Peña,SN634,38660.423913514,U
162,24437,Internorte,,regular,6t2x,1,Marechal Hermes,SP265,24437.4187950678,U
163,8460,Intersul,,regular,6wyv,0,Castelo,006,8460.14765069244,U
164,29364,Transcarioca,,frescao,6xgk,0,Castelo,2345,29364.3071780949,U
165,18556,Intersul,,regular,6xgz,1,São Januário,473,18556.9860101212,U
166,16436,MOBI-Rio,,brt,71i9,1,Terminal Campo Grande,17,16436.5294743763,U
167,10306,Santa Cruz,,regular,72jl,0,Inhoaíba,841,10306.292718412,U
168,4960,Transcarioca,,regular,7315d981-cc79-4dd9-b047-ad1850d7b6ea,1,Colônia,831,4960.7028240027,U
169,25962,Internorte,,regular,74ji,1,Méier,455,25962.2097764559,U
170,76070,Santa Cruz,,frescao,75cb,0,Castelo,2338,76070.2606236468,U
171,12246,Santa Cruz,,regular,75e2dbf7-3a7c-4336-8804-d04d5d9840e7,0,Campo Grande,893,12246.7119978468,U
172,15669,MOBI-Rio,,brt,78km,0,Estação Santa Cruz,17,15669.9742856016,U
173,22566,Internorte,,regular,7chn,0,Terminal Gentileza,SP265,22566.013635947,U
174,32659,Santa Cruz,,regular,7d078f19-2746-4344-9b3c-e020f6a3183f,1,Sepetiba,898,32659.9600313406,U
175,37659,Transcarioca,,regular,7dpo,0,Candelária,368,37659.7092602033,U
176,14158,Internorte,,regular,7ebr,0,Terminal Fundão,SP328,14158.75775467,U
177,46066,Santa Cruz,,regular,7ecm,0,Metrô Coelho Neto,753,46066.5579268747,U
178,46074,Transcarioca,,regular,7g5m,0,Recreio dos Bandeirantes,315,46074.0728459746,U
179,6705,Intersul,,regular,7h8g,0,Castelo,201,6705.37874883416,U
180,13447,Internorte,,regular,7kxh,1,Bananal,SP328,13447.5587183814,U
181,17508,Internorte,,regular,7lx7,0,Castelo,SN232,17508.881855024,U
182,29566,Transcarioca,,regular,7ouv,0,Central do Brasil,LECD129,29566.5133152809,U
183,6994,Intersul,,regular,7qih,1,Central,117,6994.76347476192,U
184,21436,MOBI-Rio,,brt,7uyq,1,Estação Pontal,18,21436.3791667693,U
185,22542,Internorte,,regular,7vu5,0,Circular,LECD146,22542.1789291113,U
186,24146,Transcarioca,,regular,7x13,1,Cidade de Deus,SPA550,24146.5385506824,U
187,28644,Internorte,,regular,7z3u,1,Bananal,328,28644.3500700712,U
188,29708,Transcarioca,,regular,7zri,1,Taquara,341,29708.8707859872,U
189,17089,Intersul,,regular,80cb,1,Candelária,SN209,17089.1994766153,U
190,16251,Internorte,,regular,825u,0,Terminal Gentileza,606,16251.7259032496,U
191,33307,Santa Cruz,,regular,82cc8479-53d1-4b34-8ffb-f1bd5478bc28,0,Praça da República,383,33307.1664794019,U
192,38303,Santa Cruz,,regular,82wb,1,Terminal Sulacap,300,38303.5220367399,U
193,19150,Transcarioca,,regular,82xo,0,Vila Valqueire,678,19150.0005280779,U
194,45826,Santa Cruz,,frescao,831p,1,Bangu,2310,45826.7090344133,U
195,24589,Transcarioca,,regular,83ccb7af-09c8-4561-b82d-cbac750e601a,1,Terminal Tanque,878,24589.3869694199,U
196,53650,Santa Cruz,,frescao,83td,0,Castelo,2336,53650.734285948,U
197,21438,MOBI-Rio,,brt,83ve,0,Terminal Alvorada,35,21438.116774748,U
198,70078,Santa Cruz,,frescao,8739,0,Carioca,2303,70078.3588889661,U
199,15569,Internorte,,regular,87e4,1,Méier,663,15569.769671359,U
200,22395,Intersul,,regular,8ah4,1,Gávea,LECD127,22395.6425537162,U
201,25047,Transcarioca,,regular,8bai,1,Rio das Pedras,961,25047.654458502,U
202,56278,Santa Cruz,,regular,8bn8,1,Terminal Campo Grande,SN397,56278.8130137404,U
203,27085,Transcarioca,,regular,8d7z,0,Metrô Del Castilho,611,27085.9756732554,U
204,22512,Internorte,,regular,8e13,0,Saens Peña,623,22512.8198970475,U
205,29038,MOBI-Rio,,brt,8jpz,1,Estação Magarça,16,29038.0795184831,U
206,23553,MOBI-Rio,,brt,8jzx,0,Santa Efigênia,43,23553.2901670978,U
207,27143,Transcarioca,,regular,8ncs,1,Ramos (Praia),940,27143.1653650501,U
208,10657,MOBI-Rio,,brt,8nd5,1,Terminal Aroldo Melodia,90,10657.8979071368,U
209,24314,Internorte,,regular,8s72,1,Marechal Hermes,928,24314.1609179754,U
210,22345,Internorte,,regular,8u77,0,Castelo,238,22345.4655422187,U
211,31981,Transcarioca,,regular,8vtj,0,Terminal Gentileza,SN353,31981.5202186508,U
212,3895,Intersul,,regular,8w0q,0,Muda,626,3895.7639779857,U
213,29802,Transcarioca,,regular,8zt8,0,Saens Peña,601,29802.3562057612,U
214,15806,Santa Cruz,,regular,90sj,0,Terminal Mato Alto,820,15806.2521560655,U
215,34655,Internorte,,regular,923i,0,Castelo,SR362,34655.5763423055,U
216,11301,Transcarioca,,regular,92s8,1,Gardênia Azul,932,11301.9817869859,U
217,28023,Transcarioca,,regular,934c,1,Terminal Tanque,565,28023.9338152082,U
218,75715,Santa Cruz,,regular,95vp,1,Cesarão,SN388,75715.2403973917,U
219,23374,Santa Cruz,,regular,97k8,1,Bangu,794,23374.1394977765,U
220,19726,Internorte,,regular,97om,1,Água Santa,239,19726.2146784866,U
